Year,Month,Day,URL
1922,December,11,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1922121100001?opendocument
1922,December,18,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1922121800001?opendocument
1922,December,13,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1922121300001?opendocument
1922,December,12,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1922121200001?opendocument
1922,December,20,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1922122000001?opendocument
1923,February,08,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1923020800001?opendocument
1923,February,07,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1923020700001?opendocument
1923,February,21,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1923022100001?opendocument
1923,February,14,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1923021400001?opendocument
1923,October,03,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1923100300001?opendocument
1923,October,23,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1923102300001?opendocument
1923,October,10,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1923101000001?opendocument
1923,March,28,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1923032800001?opendocument
1923,March,15,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1923031500001?opendocument
1923,March,14,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1923031400001?opendocument
1923,March,22,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1923032200001?opendocument
1923,March,21,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1923032100001?opendocument
1923,August,02,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1923080200001?opendocument
1923,August,03,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1923080300001?opendocument
