"","File","Date","Subject","Result","TA_Tally","NIL_Tally"
"1","Ireland-seanad-minutes-2004April07-p9.html","2004/4/ 7","07/Apr/2004 Citizenship Rights for Non-Nationals: Motion","[345]Amendment declared carried.","28","14"
"2","Ireland-seanad-minutes-2004April28-p7.html","2004/4/28","28/Apr/2004 Disabilities Bill: Motion.","[533]Amendment declared carried.","26","17"
"3","Ireland-seanad-minutes-2004April28-p7.html","2004/4/28","28/Apr/2004 Disabilities Bill: Motion.","[535]Question declared carried.","26","17"
"4","Ireland-seanad-minutes-2004April30-p6.html","2004/4/30","30/Apr/2004 Twenty-seventh Amendment of the Constitution Bill 2004: Second Stage (Resumed).","Question declared carried.","23","17"
"5","Ireland-seanad-minutes-2004December07-p6.html","2004/12/ 7","07/Dec/2004 Garda S&iacute;och&aacute;na Bill 2004: Committee Stage.","[1859]Amendment declared lost.","12","27"
"6","Ireland-seanad-minutes-2004December08-p7.html","2004/12/ 8","08/Dec/2004 Dormant Accounts (Amendment) Bill 2004: Report and Final Stages.","Question declared carried.","28","17"
"7","Ireland-seanad-minutes-2004December08-p7.html","2004/12/ 8","08/Dec/2004 Dormant Accounts (Amendment) Bill 2004: Report and Final Stages.","[1985]Question declared carried.","26","18"
"8","Ireland-seanad-minutes-2004December08-p8.html","2004/12/ 8","08/Dec/2004 Fishing Industry: Motion.","[2013]Amendment declared carried.","26","15"
"9","Ireland-seanad-minutes-2004December10-p8.html","2004/12/10","10/Dec/2004 Health Bill 2004: Second Stage.","[2217]Question declared carried.","25"," 9"
"10","Ireland-seanad-minutes-2004December14-p5.html","2004/12/14","14/Dec/2004 Road Traffic Bill 2004: Committee Stage.","[2271]Question declared carried.","28","14"
"11","Ireland-seanad-minutes-2004December14-p6.html","2004/12/14","14/Dec/2004 Health Bill 2004: Committee Stage.","[2305]Amendment declared lost.","15","27"
"12","Ireland-seanad-minutes-2004December14-p6.html","2004/12/14","14/Dec/2004 Health Bill 2004: Committee Stage.","[2321]Question declared carried.","25","16"
"13","Ireland-seanad-minutes-2004December15-p4.html","2004/12/15","15/Dec/2004 Order of Business.","[2405]Amendment declared lost.","20","26"
"14","Ireland-seanad-minutes-2004December15-p7.html","2004/12/15","15/Dec/2004 Garda S&iacute;och&aacute;na Bill 2004: Committee Stage (Resumed).","[2417]Question declared carried.","29","19"
"15","Ireland-seanad-minutes-2004December16-p5.html","2004/12/16","16/Dec/2004 Health Bill 2004: Report and Final Stages.","[2523]Amendment declared lost.","17","30"
"16","Ireland-seanad-minutes-2004December16-p5.html","2004/12/16","16/Dec/2004 Health Bill 2004: Report and Final Stages.","[2535]Question declared carried.","28","17"
"17","Ireland-seanad-minutes-2004December16-p5.html","2004/12/16","16/Dec/2004 Health Bill 2004: Report and Final Stages.","[2541]Question declared carried.","28","18"
"18","Ireland-seanad-minutes-2004December17-p5.html","2004/12/17","17/Dec/2004 Health (Amendment) (No. 2) Bill 2004: Second Stage.","[2639]Question declared carried.","26","15"
"19","Ireland-seanad-minutes-2004February04-p5.html","2004/2/ 4","04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.","[403]Question declared carried.","28","15"
"20","Ireland-seanad-minutes-2004February11-p11.html","2004/2/11","11/Feb/2004 Regional Development: Motion.","[695]Amendment declared lost.","22","31"
"21","Ireland-seanad-minutes-2004February11-p4.html","2004/2/11","11/Feb/2004 Order of Business.","[581]Question declared carried.","27","17"
"22","Ireland-seanad-minutes-2004February11-p6.html","2004/2/11","11/Feb/2004 Immigration Bill 2004 [Seanad Bill amended by the D&aacute;il]: Report and Final Stages.","[601]Question declared carried.","28","22"
"23","Ireland-seanad-minutes-2004February11-p7.html","2004/2/11","11/Feb/2004 Immigration Bill 2004: Motion for Earlier Signature.","[603]Question declared carried.","29","22"
"24","Ireland-seanad-minutes-2004February18-p7.html","2004/2/18","18/Feb/2004 Civil Registration Bill 2003: Committee Stage.","[879]Amendment declared carried.","24","23"
"25","Ireland-seanad-minutes-2004February18-p8.html","2004/2/18","18/Feb/2004 Revenue Commissioners: Motion.","[907]Amendment declared carried.","24","17"
