"","Number","File","Date","Subject","Result","TA_Tally","NIL_Tally"
"1","1","Ireland-seanad-minutes-2012December05-p8.html","2012/12/ 5","05/Dec/2012 Order of Business (Continued)","Amendment declared lost.","18","28"
"2","2","Ireland-seanad-minutes-2012December06-p10.html","2012/12/ 6","06/Dec/2012 Order of Business (Continued)","Question declared carried.","31","11"
"3","3","Ireland-seanad-minutes-2012December06-p8.html","2012/12/ 6","06/Dec/2012 Order of Business (Continued)","Amendment declared lost.","13","29"
"4","4","Ireland-seanad-minutes-2012December06-p9.html","2012/12/ 6","06/Dec/2012 Order of Business (Continued)","Amendment declared lost.","14","29"
"5","5","Ireland-seanad-minutes-2012December12-p10.html","2012/12/12","12/Dec/2012 Order of Business (Continued)","Amendment declared lost.","17","29"
"6","6","Ireland-seanad-minutes-2012December12-p11.html","2012/12/12","12/Dec/2012 Order of Business (Continued)","Question declared carried.","33","13"
"7","7","Ireland-seanad-minutes-2012December12-p23.html","2012/12/12","12/Dec/2012 National Vetting Bureau (Children and Vulnerable Persons) Bill 2012: Report and Final Stages (Continued)","Amendment declared lost.","17","26"
"8","8","Ireland-seanad-minutes-2012December12-p30.html","2012/12/12","12/Dec/2012 Shannon Airport: Motion (Continued)","Amendment declared lost.","13","28"
"9","9","Ireland-seanad-minutes-2012December12-p32.html","2012/12/12","12/Dec/2012 Credit Union Bill 2012: Report and Final Stages (Continued)","Question declared carried.","30","10"
"10","10","Ireland-seanad-minutes-2012December12-p9.html","2012/12/12","12/Dec/2012 Order of Business (Continued)","Amendment declared lost.","14","32"
"11","11","Ireland-seanad-minutes-2012December18-p16.html","2012/12/18","18/Dec/2012 Order of Business (Continued)","Amendment declared lost.","14","33"
"12","12","Ireland-seanad-minutes-2012December18-p55.html","2012/12/18","18/Dec/2012 Social Welfare Bill 2012: Second Stage (Resumed) (Continued)","Question declared carried.","34","22"
"13","13","Ireland-seanad-minutes-2012December19-p13.html","2012/12/19","19/Dec/2012 Health Insurance (Amendment) Bill 2012: Committee Stage (Continued)","Amendment declared lost."," 5","40"
"14","14","Ireland-seanad-minutes-2012December19-p19.html","2012/12/19","19/Dec/2012 Health Insurance (Amendment) Bill 2012: Committee Stage (Resumed) and Remaining Stages (Continued)","Question declared carried.","33","18"
"15","15","Ireland-seanad-minutes-2012December19-p26.html","2012/12/19","19/Dec/2012 Equal Status (Amendment) Bill 2012: Second Stage (Continued)","Question declared carried.","45"," 4"
"16","16","Ireland-seanad-minutes-2012December19-p50.html","2012/12/19","19/Dec/2012 Social Welfare Bill 2012: Committee Stage (Continued)","Question declared carried.","31","28"
"17","17","Ireland-seanad-minutes-2012December19-p64.html","2012/12/19","19/Dec/2012 Finance (Local Property Tax) Bill 2012: Second Stage (Continued)","Question declared carried.","30","17"
"18","18","Ireland-seanad-minutes-2012December19-p65.html","2012/12/19","19/Dec/2012 Finance (Local Property Tax) Bill 2012: Second Stage (Continued)","Question declared carried.","30","17"
"19","19","Ireland-seanad-minutes-2012December20-p10.html","2012/12/20","20/Dec/2012 Order of Business (Continued)","Question declared carried.","32","20"
"20","20","Ireland-seanad-minutes-2012December20-p13.html","2012/12/20","20/Dec/2012 Appropriation Bill 2012 [Certified Money Bill]: All Stages (Continued)","Question declared carried.","35"," 8"
