Year,Month,Day,File_Name,Subject,Non-RCV Result
2004,January,21,Ireland-seanad-minutes-2004January21-p5.html,21/Jan/2004 Order of Business.,Order of Business agreed to.
2004,January,21,Ireland-seanad-minutes-2004January21-p6.html,21/Jan/2004 Procedures of Seanad: Motion.,Question put and agreed to.
2004,January,21,Ireland-seanad-minutes-2004January21-p8.html,21/Jan/2004 Recognition of the Irish Language: Motion.,Question put and agreed to.
2004,January,22,Ireland-seanad-minutes-2004January22-p5.html,22/Jan/2004 Order of Business.,Order of Business agreed to.
2004,January,22,Ireland-seanad-minutes-2004January22-p6.html,22/Jan/2004 Report on Future Skills Needs: Statements.,An Leas-Chathaoirleach:Is that agreed? Agreed.
2004,January,27,Ireland-seanad-minutes-2004January27-p4.html,27/Jan/2004 Order of Business.,Order of Business agreed to.
2004,January,27,Ireland-seanad-minutes-2004January27-p5.html,27/Jan/2004 Water Services Bill 2003: Order for Second Stage.,Question put and agreed to.
2004,January,27,Ireland-seanad-minutes-2004January27-p6.html,27/Jan/2004 Water Services Bill 2003: Second Stage.,Acting Chairman (Mr. Cummins):Is that agreed? Agreed.
2004,January,27,Ireland-seanad-minutes-2004January27-p6.html,27/Jan/2004 Water Services Bill 2003: Second Stage.,Acting Chairman:Is that agreed? Agreed.
2004,January,27,Ireland-seanad-minutes-2004January27-p6.html,27/Jan/2004 Water Services Bill 2003: Second Stage.,Question put and agreed to.
2004,January,28,Ireland-seanad-minutes-2004January28-p4.html,28/Jan/2004 Order of Business.,[184]Order of Business agreed to.
2004,January,28,Ireland-seanad-minutes-2004January28-p5.html,28/Jan/2004 An Bord Bia (Amendment) Bill 2003: Order for Second Stage.,Question put and agreed to.
2004,January,28,Ireland-seanad-minutes-2004January28-p6.html,28/Jan/2004 An Bord Bia (Amendment) Bill 2003: Second Stage.,Question put and agreed to.
2004,January,28,Ireland-seanad-minutes-2004January28-p7.html,28/Jan/2004 Services for Victims of Domestic Violence: Statements.,Acting Chairman:Is it agreed to suspend for five minutes? Agreed.
2004,January,28,Ireland-seanad-minutes-2004January28-p7.html,28/Jan/2004 Services for Victims of Domestic Violence: Statements.,An Leas-Chathaoirleach:Is that agreed? Agreed.
2004,January,28,Ireland-seanad-minutes-2004January28-p8.html,28/Jan/2004 F&Aacute;S Community Employment Schemes: Motion.,"Motion, as amended, put and declared carried."
2004,January,29,Ireland-seanad-minutes-2004January29-p4.html,29/Jan/2004 Order of Business.,Order of Business agreed to.
2004,January,29,Ireland-seanad-minutes-2004January29-p5.html,29/Jan/2004 Electronic Voting: Motion.,Question put and agreed to.
2004,January,29,Ireland-seanad-minutes-2004January29-p8.html,29/Jan/2004 European Presidency: Statements.,"An Cathaoirleach:As agreed on the Order of Business, each group has eight minutes."
2004,January,29,Ireland-seanad-minutes-2004January29-p8.html,29/Jan/2004 European Presidency: Statements.,An Cathaoirleach:Is that agreed? Agreed.
2004,January,30,Ireland-seanad-minutes-2004January30-p3.html,30/Jan/2004 Order of Business.,Question put: That the Order of Business be agreed to.
2004,January,30,Ireland-seanad-minutes-2004January30-p4.html,30/Jan/2004 Immigration Bill 2004: Order for Second Stage.,Question put and agreed to.
2004,January,30,Ireland-seanad-minutes-2004January30-p5.html,30/Jan/2004 Immigration Bill 2004: Second Stage.,Mr. O'Toole:We are agreed on that point.
2004,January,30,Ireland-seanad-minutes-2004January30-p5.html,30/Jan/2004 Immigration Bill 2004: Second Stage.,Question declared carried.
2004,January,30,Ireland-seanad-minutes-2004January30-p6.html,30/Jan/2004 Immigration Bill 2004: Committee and Remaining Stages.,Section 1 agreed to.
2004,January,30,Ireland-seanad-minutes-2004January30-p6.html,30/Jan/2004 Immigration Bill 2004: Committee and Remaining Stages.,Sections 2 and 3 agreed to.
2004,January,30,Ireland-seanad-minutes-2004January30-p6.html,30/Jan/2004 Immigration Bill 2004: Committee and Remaining Stages.,Amendment agreed to.
2004,January,30,Ireland-seanad-minutes-2004January30-p6.html,30/Jan/2004 Immigration Bill 2004: Committee and Remaining Stages.,[382]Amendment agreed to.
2004,January,30,Ireland-seanad-minutes-2004January30-p6.html,30/Jan/2004 Immigration Bill 2004: Committee and Remaining Stages.,"Section 4, as amended, agreed to."
2004,January,30,Ireland-seanad-minutes-2004January30-p6.html,30/Jan/2004 Immigration Bill 2004: Committee and Remaining Stages.,Sections 5 and 6 agreed to.
2004,January,30,Ireland-seanad-minutes-2004January30-p6.html,30/Jan/2004 Immigration Bill 2004: Committee and Remaining Stages.,Sections 7 and 8 agreed to.
2004,January,30,Ireland-seanad-minutes-2004January30-p6.html,30/Jan/2004 Immigration Bill 2004: Committee and Remaining Stages.,Amendment agreed to.
2004,January,30,Ireland-seanad-minutes-2004January30-p6.html,30/Jan/2004 Immigration Bill 2004: Committee and Remaining Stages.,"Section 9, as amended, agreed to."
2004,January,30,Ireland-seanad-minutes-2004January30-p6.html,30/Jan/2004 Immigration Bill 2004: Committee and Remaining Stages.,Section 10 agreed to.
2004,January,30,Ireland-seanad-minutes-2004January30-p6.html,30/Jan/2004 Immigration Bill 2004: Committee and Remaining Stages.,Section 11 agreed to.
2004,January,30,Ireland-seanad-minutes-2004January30-p6.html,30/Jan/2004 Immigration Bill 2004: Committee and Remaining Stages.,Section 12 agreed to.
2004,January,30,Ireland-seanad-minutes-2004January30-p6.html,30/Jan/2004 Immigration Bill 2004: Committee and Remaining Stages.,"Sections 13 to 15, inclusive, agreed to."
2004,January,30,Ireland-seanad-minutes-2004January30-p6.html,30/Jan/2004 Immigration Bill 2004: Committee and Remaining Stages.,Amendment agreed to.
2004,January,30,Ireland-seanad-minutes-2004January30-p6.html,30/Jan/2004 Immigration Bill 2004: Committee and Remaining Stages.,"Section 16, as amended, agreed to."
2004,January,30,Ireland-seanad-minutes-2004January30-p6.html,30/Jan/2004 Immigration Bill 2004: Committee and Remaining Stages.,Section 17 agreed to.
2004,January,30,Ireland-seanad-minutes-2004January30-p6.html,30/Jan/2004 Immigration Bill 2004: Committee and Remaining Stages.,[383]Section 18 agreed to.
2004,January,30,Ireland-seanad-minutes-2004January30-p6.html,30/Jan/2004 Immigration Bill 2004: Committee and Remaining Stages.,"Sections 19 to 22, inclusive, agreed to."
2004,January,30,Ireland-seanad-minutes-2004January30-p6.html,30/Jan/2004 Immigration Bill 2004: Committee and Remaining Stages.,Schedule agreed to.
2004,January,30,Ireland-seanad-minutes-2004January30-p6.html,30/Jan/2004 Immigration Bill 2004: Committee and Remaining Stages.,Title agreed to.
2004,January,30,Ireland-seanad-minutes-2004January30-p6.html,30/Jan/2004 Immigration Bill 2004: Committee and Remaining Stages.,Question put and agreed to.
2004,February,04,Ireland-seanad-minutes-2004February04-p4.html,04/Feb/2004 Order of Business.,Order of Business agreed to.
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,"Sections 1 to 13, inclusive, agreed to."
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,Section 14 agreed to.
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,"Sections 15 to 17, inclusive, agreed to."
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,Amendment declared lost.
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,"Question, That the words proposed to be deleted stand, put and declared carried."
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,Amendment declared lost.
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,"Question, That the words proposed to be deleted stand, put and declared carried."
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,Amendment declared lost.
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,"Question, That the words proposed to be deleted stand, put and declared carried."
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,Amendment declared lost.
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,Section 18 agreed to.
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,Amendment put and declared lost.
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,Section 19 agreed to.
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,"Sections 20 to 22, inclusive, agreed to."
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,Title agreed to.
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,Question put and agreed to.
2004,February,04,Ireland-seanad-minutes-2004February04-p7.html,04/Feb/2004 Equality Bill 2004: Order for Second Stage.,Question put and agreed to.
2004,February,04,Ireland-seanad-minutes-2004February04-p8.html,04/Feb/2004 Equality Bill 2004: Second Stage.,Ms White:We agreed earlier to change the order and that Senator Tuffy would speak next.
2004,February,04,Ireland-seanad-minutes-2004February04-p8.html,04/Feb/2004 Equality Bill 2004: Second Stage.,Question put and agreed to.
2004,February,04,Ireland-seanad-minutes-2004February04-p9.html,04/Feb/2004 Israel-Palestine: Motion.,An Cathaoirleach:Is that agreed? Agreed.
